File_name	Strain
Fischerella_thermalis_CCMEE_5268	Fischerella thermalis CCMEE 5268
Fischerella_thermalis_CCMEE_5273	Fischerella thermalis CCMEE 5273
Fischerella_thermalis_CCMEE_5282	Fischerella thermalis CCMEE 5282
Fischerella_thermalis_CCMEE_5318	Fischerella thermalis CCMEE 5318
Fischerella_thermalis_CCMEE_5330	Fischerella thermalis CCMEE 5330
Fischerella_thermalis_PCC_7521	Fischerella thermalis PCC 7521
Fischerella_thermalis_strain_JSC_11_ctg50	Fischerella thermalis JSC-11
Fischerella_thermalis_WC1110	Fischerella thermalis WC1110
Fischerella_thermalis_WC114	Fischerella thermalis WC114
Fischerella_thermalis_WC119	Fischerella thermalis WC119
Fischerella_thermalis_WC157	Fischerella thermalis WC157
Fischerella_thermalis_WC213	Fischerella thermalis WC213
Fischerella_thermalis_WC245	Fischerella thermalis WC245
Fischerella_thermalis_WC246	Fischerella thermalis WC246
Fischerella_thermalis_WC249	Fischerella thermalis WC249
Fischerella_thermalis_WC341	Fischerella thermalis WC341
Fischerella_thermalis_WC344	Fischerella thermalis WC344
Fischerella_thermalis_WC439	Fischerella thermalis WC439
Fischerella_thermalis_WC441	Fischerella thermalis WC441
Fischerella_thermalis_WC442	Fischerella thermalis WC442
Fischerella_thermalis_WC527	Fischerella thermalis WC527
Fischerella_thermalis_WC538	Fischerella thermalis WC538
Fischerella_thermalis_WC542	Fischerella thermalis WC542
Fischerella_thermalis_WC558	Fischerella thermalis WC558
Fischerella_thermalis_WC559	Fischerella thermalis WC559
Fortiea_contorta_PCC_7126	Fortiea contorta PCC 7126
Fremyella_diplosiphon_NIES_3275	Fremyella diplosiphon NIES-3275
Gloeocapsa_sp_PCC_7428	Gloeocapsa sp. PCC 7428
Hapalosiphon_sp_MRB220	Hapalosiphon MRB220
Hassallia_byssoidea_VB512170	Hassallia byssoidea VB512170
JL23bin6	Nostoc sp. cyanobiont of Peltigera aphthosa JL23
JL31bin7	Nostoc sp. cyanobiont of Peltigera extenuata JL31
JL33bin9	Nostoc sp. cyanobiont of Peltigera malacea JL33
JL34bin6	Nostoc sp. cyanobiont of Peltigera evansiana JL34
LPTbin3	Nostoc sp. cyanobiont of Leptogium austroamericanum LPT
Mastigocladopsis_repens_PCC_10914	Mastigocladopsis repens PCC 10914
Mastigocladus_laminosus_UU774	Mastigocladus laminosus UU774
Mastigocoleus_testarum_BC008	Mastigocoleus testarum BC008
NMS1bin4	Nostoc sp. cyanobiont of Peltigera hydrothyria NMS1
NMS2bin6	Nostoc sp. cyanobiont of Peltigera hydrothyria NMS2
NMS4bins6_15_trimmedGB	Nostoc sp. cyanobiont of Peltigera venosa NMS4
NMS7bin6	Nostoc sp. cyanobiont of Solorina crocea NMS7
NMS8bin5	Nostoc sp. cyanobiont of Peltigera dolichorhiza NMS8
NMS9bin6	Nostoc sp. cyanobiont of Peltigera phyllidiosa NMS9
Nodularia_sp_NIES_3585	Nodularia sp. NIES-3585
Nodularia_spumigena_CCY9414	Nodularia spumigena CCY9414
Nodularia_spumigena_CCY9414_v2	Nodularia spumigena CCY9414 v2
Nodularia_spumigena_CENA596	Nodularia spumigena CENA596
Nodularia_spumigena_UHCC_0039	Nodularia spumigena UHCC 0039
NOSbin1	Nostoc sp. cyanobiont of Peltigera aphthosa NOS
Nostoc_azollae_0708	Nostoc azollae 708
Nostoc_calcicola_FACHB_389	Nostoc calcicola FACHB-389
Nostoc_carneum_NIES_2107	Nostoc carneum NIES-2107
Nostoc_commune_NIES_4072	Nostoc commune NIES-4072
Nostoc_cycadae_WK_1	Nostoc cycadae WK-1
Nostoc_flagelliforme_CCNUN1	Nostoc flagelliforme CCNUN1
Nostoc_linckia_NIES_25	Nostoc linckia NIES-25
Nostoc_linckia_z1	Nostoc linckia z1
Nostoc_linckia_z13	Nostoc linckia z13
Nostoc_linckia_z14	Nostoc linckia z14
Nostoc_linckia_z15	Nostoc linckia z15
Nostoc_linckia_z16	Nostoc linckia z16
Nostoc_linckia_z18	Nostoc linckia z18
Nostoc_linckia_z2	Nostoc linckia z2
Nostoc_linckia_z3	Nostoc linckia z3
Nostoc_linckia_z4	Nostoc linckia z4
Nostoc_linckia_z6	Nostoc linckia z6
Nostoc_linckia_z7	Nostoc linckia z7
Nostoc_linckia_z8	Nostoc linckia z8
Nostoc_linckia_z9	Nostoc linckia z9
Nostoc_piscinale_CENA21	Nostoc piscinale CENA21
Nostoc_punctiforme_PCC_73102	Nostoc punctiforme PCC 73102
Nostoc_sp_106C	Nostoc sp. 106C
Nostoc_sp_3335mG	Nostoc sp. 3335mG
Nostoc_sp_ATCC_53789	Nostoc sp. ATCC 53789
Nostoc_sp_ATCC_53789__v2	Nostoc sp. ATCC 53789 v2
Nostoc_sp_B_2019	Nostoc sp. B (2019)
Nostoc_sp_CENA543	Nostoc sp. CENA543
Nostoc_sp_JC1668	Nostoc sp. JC1668
Nostoc_sp_KVJ20	Nostoc sp. KVJ20
Nostoc_sp_Lobaria_pulmonaria_5183	Nostoc sp. cyanobiont of Lobaria pulmonaria 5183
Nostoc_sp_NIES_2111	Nostoc sp. NIES-2111
Nostoc_sp_NIES_3756	Nostoc sp. NIES-3756
Nostoc_sp_NIES_4103	Nostoc sp. NIES-4103
